Id,Name,2026-08-01 19:46:41,2026-08-02 07:05:35,2026-08-02 19:47:21,2026-08-03 07:02:14,2026-08-03 21:33:39,2026-08-04 07:14:58,2026-08-04 20:32:22,2026-08-05 07:20:16,2026-08-05 20:27:47,2026-08-06 07:18:20,2026-08-06 20:30:52,2026-08-07 10:04:03,2026-08-07 19:07:34,2026-08-08 06:47:49,2026-08-08 18:46:21,2026-08-09 06:38:32,2026-08-09 18:48:34
89607479,AMD EPYC 4584PX (라파엘),"멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620","멀티팩 정품_814,620"
92678627,AMD EPYC 4585PX (그라도),"멀티팩 정품_877,540","멀티팩 정품_877,510","멀티팩 정품_877,430","멀티팩 정품_877,410","멀티팩 정품_877,310","멀티팩 정품_877,300","멀티팩 정품_879,880","멀티팩 정품_879,880","멀티팩 정품_879,880","멀티팩 정품_879,980","멀티팩 정품_878,970","멀티팩 정품_878,910","멀티팩 정품_878,870","멀티팩 정품_878,850","멀티팩 정품_878,800","멀티팩 정품_878,780","멀티팩 정품_878,690"
9736752,AMD EPYC 7302 (롬),"정품_700,000","정품_700,000","정품_700,000","정품_700,000","정품_700,000","정품_700,000","정품_700,000","정품_700,000","정품_700,000","정품_700,000","정품_700,000","정품_700,000",0,0,0,0,0
9736764,AMD EPYC 7302P (롬),"정품_1,038,360","정품_1,038,340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99127040,AMD EPYC 7313P (밀라노),0,0,0,0,0,0,0,0,0,0,0,0,0,0,"벌크 병행_1,350,000","벌크 병행_1,350,000","벌크 병행_1,350,000"
4143917,AMD FX 8300 (비쉐라),"중고_18,780","중고_18,780","중고_18,780","중고_18,780",0,0,0,0,0,0,0,0,0,0,0,0,0
11035590,AMD 라이젠 스레드리퍼 1900X (화이트헤븐),"해외구매_1,351,930","해외구매_1,351,930","해외구매_1,339,000","해외구매_1,339,000","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560","해외구매_1,337,560"
5565155,AMD 라이젠 스레드리퍼 1920X (화이트헤븐),"해외구매_205,390","해외구매_205,390","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420","해외구매_203,420"
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),"해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570","해외구매_587,570"
10946196,AMD 라이젠 스레드리퍼 2920X (콜팩스),"해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300","해외구매_755,300"
11036559,AMD 라이젠 스레드리퍼 2950X (콜팩스),"해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_915,510","해외구매_878,900","해외구매_878,900","해외구매_878,900","해외구매_878,900","해외구매_878,900","해외구매_878,900"
11038053,AMD 라이젠 스레드리퍼 2970WX (콜팩스),"해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000","해외구매_2,350,000"
11035740,AMD 라이젠 스레드리퍼 2990WX (콜팩스),"해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460","해외구매_1,304,460"
11035356,AMD 라이젠 스레드리퍼 3960X (캐슬 픽),"해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100","해외구매_1,013,100"
14079716,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),"해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050","해외구매_2,655,050"
30131825,AMD 라이젠 스레드리퍼 7960X (스톰 픽),"_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000","_정품_1,935,280|_멀티팩 정품_1,899,000"
30131816,AMD 라이젠 스레드리퍼 7970X (스톰 픽),"_정품_3,667,030|_멀티팩 정품_3,498,610","_정품_3,667,030|_멀티팩 정품_3,498,610","_정품_3,667,030|_멀티팩 정품_3,498,530","_정품_3,667,030|_멀티팩 정품_3,498,510","_정품_3,400,000|_멀티팩 정품_3,498,430","_정품_3,400,000|_멀티팩 정품_3,498,410","_정품_3,400,000|_멀티팩 정품_3,498,320","_정품_3,400,000|_멀티팩 정품_3,498,290","_정품_3,400,000|_멀티팩 정품_3,498,290","_정품_3,690,000|_멀티팩 정품_3,498,290","_정품_3,690,000|_멀티팩 정품_3,498,200","_정품_3,690,000|_멀티팩 정품_3,498,170","_정품_3,690,000|_멀티팩 정품_3,498,170","_정품_3,690,000|_멀티팩 정품_3,498,170","_정품_3,690,000|_멀티팩 정품_3,498,090","_정품_3,690,000|_멀티팩 정품_3,498,050","_정품_3,690,000|_멀티팩 정품_3,498,050"
30131798,AMD 라이젠 스레드리퍼 7980X (스톰 픽),"_정품_6,919,720|_멀티팩 정품_6,841,790","_정품_6,919,680|_멀티팩 정품_6,841,790","_정품_6,919,680|_멀티팩 정품_6,841,790","_정품_6,919,680|_멀티팩 정품_6,841,790","_정품_6,919,580|_멀티팩 정품_6,841,790","_정품_6,919,570|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790","_정품_6,919,990|_멀티팩 정품_6,841,790"
94932623,AMD 라이젠 스레드리퍼 9960X (시마다 픽),"멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760","멀티팩 정품_2,328,760"
94932554,AMD 라이젠 스레드리퍼 9970X (시마다 픽),"멀티팩 정품_3,855,610","멀티팩 정품_3,855,590","멀티팩 정품_3,855,520","멀티팩 정품_3,855,490","멀티팩 정품_3,855,410","멀티팩 정품_3,855,400","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980","멀티팩 정품_3,889,980"
94932239,AMD 라이젠 스레드리퍼 9980X (시마다 픽),"멀티팩 정품_7,749,880","멀티팩 정품_7,749,860","멀티팩 정품_7,749,770","멀티팩 정품_7,749,740","멀티팩 정품_7,749,650","멀티팩 정품_7,749,630","멀티팩 정품_7,749,630","멀티팩 정품_7,749,630","멀티팩 정품_7,749,990","멀티팩 정품_7,749,990","멀티팩 정품_7,749,990","멀티팩 정품_7,749,990","멀티팩 정품_7,749,990","멀티팩 정품_7,749,990","멀티팩 정품_7,749,990","멀티팩 정품_7,749,990","멀티팩 정품_7,749,990"
13491257,AMD 라이젠 스레드리퍼 PRO 3955WX (캐슬 픽-W),"_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000","_정품_902,850|_해외구매_909,000"
