Id,Name,2026-08-01 20:01:59,2026-08-02 07:21:11,2026-08-02 20:01:44,2026-08-03 07:18:03
122654001,1stPlayer AU8 빅포 ARGB,"_블랙_64,250|_화이트_66,410","_블랙_64,250|_화이트_66,410","_블랙_64,250|_화이트_66,410","_블랙_64,250|_화이트_66,410"
99912947,1stPlayer GM7 ARGB BTF,"_블랙_80,450|_실버_80,450|화이트_80,450","_블랙_80,450|_실버_80,450|화이트_80,450","_블랙_80,450|_실버_80,450|화이트_80,450","_블랙_80,450|_실버_80,450|화이트_80,450"
21548498,1stPlayer MV8,"화이트_73,060","화이트_73,060","화이트_73,060","화이트_71,559"
52153256,1stPlayer Mi5,"화이트_42,500","화이트_42,500","화이트_42,500","화이트_42,500"
91187546,1stPlayer Mi5 WING,"_블랙_48,290|_화이트_52,080","_블랙_48,290|_화이트_52,080","_블랙_48,290|_화이트_52,080","_블랙_48,290|_화이트_51,498"
20779499,1stPlayer Mi6,"화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000"
19107068,1stPlayer Mi6 MUSIC BAR,"_블랙_76,370|_화이트_81,120","_블랙_76,370|_화이트_81,120","_블랙_76,370|_화이트_81,120","_블랙_76,370|_화이트_81,120"
20229629,1stPlayer Mi8,"블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500"
103749773,1stPlayer RT7 라운드 ARGB,"_블랙_95,560|_화이트_95,560","_블랙_95,560|_화이트_95,560","_블랙_95,560|_화이트_95,560","_블랙_95,560|_화이트_95,560"
19108916,1stPlayer SP5,"_블랙_71,420|_화이트_76,320","_블랙_71,420|_화이트_76,320","_블랙_71,420|_화이트_76,320","_블랙_71,420|_화이트_76,320"
19109225,1stPlayer SP5-G,"블랙_71,420","블랙_71,420","블랙_71,420","블랙_71,420"
19109372,1stPlayer SP6 MUSIC BAR,"_블랙_81,200|_화이트_86,100","_블랙_81,200|_화이트_86,100","_블랙_81,200|_화이트_86,100","_블랙_81,200|_화이트_86,100"
19109501,1stPlayer SP6-G MUSIC BAR,"_블랙_81,200|_화이트_86,100","_블랙_81,200|_화이트_86,100","_블랙_81,200|_화이트_86,100","_블랙_81,200|_화이트_86,100"
19109651,1stPlayer SP7,"화이트_92,000","화이트_92,000","화이트_92,000","화이트_92,000"
19105625,1stPlayer T5,"블랙_53,800","블랙_53,800","블랙_53,800","블랙_53,800"
40896488,1stPlayer T7,"화이트_49,500","화이트_49,500","화이트_49,500","화이트_49,500"
35229779,1stPlayer T7-P,"_블랙_40,240|_화이트_43,350","_블랙_42,000|_화이트_43,350","_블랙_42,000|_화이트_43,350","_블랙_41,742|_화이트_43,350"
122678845,1stPlayer WD8 ARGB,"_메탈 화이트_75,760|_우드블랙_72,110","_메탈 화이트_75,760|_우드블랙_72,110","_메탈 화이트_75,760|_우드블랙_72,110","_메탈 화이트_75,760|_우드블랙_72,110"
2753144,2MONS 1.5U D280 핫스왑*2,"165,330","165,330","165,330","165,330"
2919264,2MONS 1.5U D280 핫스왑*2 USB3.0,"167,000","167,000","167,000","167,000"
3330848,2MONS 1U D550 에코 USB3.0,"159,000","159,000","159,000","159,000"
7025194,2MONS 1U ITX D250,"115,000","115,000","114,990","114,990"
12024287,2MONS 1U LCD D400,"150,480","150,480","150,470","150,470"
2910165,2MONS 2U D550 PLUS USB3.0,"112,000","112,000","112,000","112,000"
16983374,2MONS 2U D550 PLUS 핫스왑-3,"201,000","201,000","200,980","200,980"
2753078,2MONS 2U D550 핫스왑*6,"259,380","259,380","259,380","259,380"
2920397,2MONS 2U D550 핫스왑*6 USB3.0,"262,000","262,000","262,000","262,000"
10071663,2MONS 2U E-ATX D650,"119,000","119,000","119,000","119,000"
10071696,2MONS 2U E-ATX D650 USB3.0,"132,660","132,660","132,660","132,660"
64393598,2MONS 2U E-ATX D650 리던던트 파워용 KIT,"14,560","14,560","14,540","14,540"
3319048,2MONS 2U 핫스왑*6 SATA3 USB3.0,"281,000","281,000","281,000","281,000"
12531173,2MONS 3U D300 에코,"78,000","78,000","77,990","77,990"
4968795,2MONS 3U LCD 핫스왑*4 USB 3.0,"227,000","227,000","227,000","227,000"
122616555,2MONS 4U AII in one D560 핫스왑-4,"321,130","321,130","321,110","321,110"
92105834,2MONS 4U All in One D560 GPU-4,"222,000","222,000","221,990","221,990"
12862703,2MONS 4U D450 GPU-3,"61,000","61,000","60,990","60,990"
19869497,2MONS 4U D470 GPU-4 워터쿨,"190,000","190,000","189,990","189,990"
14920439,2MONS 4U D650 HD-28,"179,520","176,000","176,000","176,000"
25264844,2MONS 4U D650 HD-28 워터쿨,"176,000","176,000","175,990","175,990"
12551834,2MONS 4U D650 핫스왑-12,"346,920","346,920","346,900","346,900"
14920292,2MONS 4U D650 핫스왑-16,"386,290","386,290","386,280","386,280"
18961142,2MONS 4U D650 핫스왑-8 워터쿨,"340,000","340,000","340,000","340,000"
65430776,2MONS 4U D680 핫스왑-24,"519,750","519,750","519,750","519,750"
122720355,2MONS 4U HQ D445 워터쿨360,가격비교예정,0,0,0
12531095,2MONS 4U LCD D650 GPU-6,"247,890","247,890","247,880","247,880"
28605620,2MONS 4U LCD D680 GPU-6 워터쿨 2psu,"327,990","327,990","327,980","327,980"
