Id,Name,2026-08-01 19:55:58,2026-08-02 07:15:19,2026-08-02 19:55:57
103752341,1stPlayer FM7 120 ARGB PWM,"_블랙_8,440|_화이트_8,440","_블랙_8,440|_화이트_8,440","_블랙_8,440|_화이트_8,440"
103752401,1stPlayer FM7 120 ARGB PWM 리버스,"_블랙_8,440|_화이트_8,440","_블랙_8,440|_화이트_8,440","_블랙_8,440|_화이트_8,440"
123589464,1stPlayer HUB2,"9,900","9,900","9,900"
100383728,1stPlayer TS4 360 ARGB,"_블랙_88,770|_화이트_84,000","_블랙_88,770|_화이트_84,000","_블랙_88,770|_화이트_84,000"
28122920,1stPlayer WING 120,"_블랙_6,490|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_6,490","_블랙_6,490|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_6,490","_블랙_6,490|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_6,490"
28123250,1stPlayer WING-R 120,"_블랙_6,490|_3팩, 블랙_24,500","_블랙_6,490|_3팩, 블랙_24,500","_블랙_6,490|_3팩, 블랙_24,500"
67976123,3RSYS AM5 세이프티 브라켓,"블랙_5,070","블랙_5,070","블랙_5,070"
12806516,3RSYS AMD 세이프티 브라켓,"5,110","5,110","5,110"
11845318,3RSYS APB BAR,"410mm_8,990","410mm_8,990","410mm_8,990"
64376207,3RSYS CH10 ARGB AND PWM HUB,"11,530","11,530","11,530"
13067489,3RSYS ICEAGE G5 이정표 그래픽카드 지지대,"_골드_8,450|_실버_8,900","_골드_8,450|_실버_8,900","_골드_8,450|_실버_8,900"
28236212,3RSYS ICEAGE G7 그래픽카드 & CPU쿨러 지지대,"_블랙_19,450|_실버_19,450","_블랙_19,450|_실버_19,450",0
28236215,3RSYS ICEAGE G7 그래픽카드 & CPU쿨러 지지대,0,0,"_블랙_19,450|_실버_19,450"
28886321,3RSYS ICEAGE G7-Parts,"실버_4,380","실버_4,380","실버_4,380"
3662491,3RSYS ICEAIR A-2 PLUS,"화이트_6,290","화이트_6,290","화이트_6,290"
56144393,3RSYS JS 120 RGB 리버스,"_블랙_4,020|_화이트_4,470","_블랙_4,020|_화이트_4,470","_블랙_4,020|_화이트_4,470"
14494886,3RSYS PF-12025,"블랙_11,000|5팩, 블랙_44,000|_화이트_12,000|_5팩, 화이트_22,160","블랙_11,000|5팩, 블랙_44,000|_화이트_12,000|_5팩, 화이트_22,160","블랙_11,000|5팩, 블랙_44,000|_화이트_12,000|_5팩, 화이트_22,160"
13866314,3RSYS PH-12025 ARGB,"블랙_5,000|_5팩, 블랙_23,150|화이트_4,980|_5팩, 화이트_23,300","블랙_5,000|_5팩, 블랙_23,150|화이트_4,980|_5팩, 화이트_23,300","블랙_5,000|_5팩, 블랙_23,150|화이트_4,980|_5팩, 화이트_23,300"
123537896,3RSYS RC1500 ARGB 쌍철봉 LITE,"_블랙_45,490|_화이트_45,490","_블랙_45,490|_화이트_45,490","_블랙_45,490|_화이트_45,490"
123537923,3RSYS RC1500N PWM 쌍철봉 LITE,"_블랙_42,490|_화이트_42,500","_블랙_42,490|_화이트_42,500","_블랙_42,490|_화이트_42,500"
123693723,3RSYS RC380N PWM 무뽑방지 키트,"블랙_20,970","블랙_20,970","블랙_20,970"
18793703,3RSYS RTC12 써멀그리스,"_2g_7,700|_4g_12,700","_2g_7,700|_4g_12,700","_2g_7,700|_4g_12,700"
18563291,3RSYS SCV 5000,"6,990","6,990","6,990"
19080341,3RSYS SILENCE SE 140,"화이트_12,750","화이트_12,750","화이트_12,750"
21437228,3RSYS Silence GI 120 ARGB,"_블랙_13,600|_3팩, 블랙_33,200|화이트_14,820|3팩, 화이트_34,600","_블랙_13,600|_3팩, 블랙_33,200|화이트_14,820|3팩, 화이트_34,600","_블랙_13,600|_3팩, 블랙_33,300|화이트_14,820|3팩, 화이트_34,600"
31077890,3RSYS Silence GI 120 데이지체인,"블랙_17,650|_3팩, 블랙_35,740|화이트_18,630|_3팩, 화이트_36,990","블랙_17,650|_3팩, 블랙_35,740|화이트_18,630|_3팩, 화이트_36,990",0
31077950,3RSYS Silence GI 120 데이지체인,0,0,"블랙_17,650|_3팩, 블랙_35,740|화이트_18,630|_3팩, 화이트_36,990"
31078175,3RSYS Silence GI 120 데이지체인 리버스,"블랙_17,660|_3팩, 블랙_34,200|화이트_14,700|_3팩, 화이트_38,100","블랙_17,660|_3팩, 블랙_34,200|화이트_14,700|_3팩, 화이트_38,100","블랙_17,660|_3팩, 블랙_34,200|화이트_14,700|_3팩, 화이트_38,100"
28628861,3RSYS Silence GI 120 리버스,"_블랙_13,170|_화이트_15,460","_블랙_13,170|_화이트_15,460","_블랙_13,170|_화이트_15,460"
89613041,3RSYS Silence GI 120-N PWM,"_블랙_11,330|_화이트_11,990","_블랙_11,330|_화이트_11,990","_블랙_11,330|_화이트_11,990"
89613122,3RSYS Silence GI 120-N 데이지체인,"_3팩, 블랙_34,940|_3팩, 화이트_36,990","_3팩, 블랙_34,940|_3팩, 화이트_36,990","_3팩, 블랙_34,940|_3팩, 화이트_36,990"
89613281,3RSYS Silence GI 120-N 데이지체인 리버스,"_3팩, 블랙_34,940|_3팩, 화이트_36,990","_3팩, 블랙_34,940|_3팩, 화이트_36,990","_3팩, 블랙_34,940|_3팩, 화이트_36,990"
71427281,3RSYS Silence GI 140 데이지체인 리버스 메인,"_블랙_22,420|_화이트_21,790","_블랙_22,420|_화이트_21,790",0
71427308,3RSYS Silence GI 140 데이지체인 리버스 메인,0,0,"_블랙_22,420|_화이트_21,790"
71427356,3RSYS Silence GI 140 데이지체인 리버스 서브,"_블랙_20,280|_화이트_20,250","_블랙_20,280|_화이트_20,250","_블랙_20,280|_화이트_20,250"
71426849,3RSYS Silence GI 140 데이지체인 메인,"_블랙_22,420|_화이트_22,420","_블랙_22,420|_화이트_22,420","_블랙_22,420|_화이트_22,420"
71427080,3RSYS Silence GI 140 데이지체인 서브,"_블랙_19,600|_화이트_20,360","_블랙_19,600|_화이트_20,360","_블랙_19,600|_화이트_20,360"
69565934,3RSYS Socoool B7 메모리 방열판,"_블랙_8,580|_화이트_8,580","_블랙_8,580|_화이트_8,580","_블랙_8,580|_화이트_8,580"
18371051,3RSYS Socoool BLAIDD 12 ARGB,"_블랙_5,990|_화이트_5,810","_블랙_5,990|_화이트_5,810","_블랙_5,990|_화이트_5,810"
60168905,3RSYS Socoool BYK 360 ARGB,"화이트_83,000","화이트_83,000","화이트_83,000"
92152679,3RSYS Socoool BYK 360 Quiet,"화이트_89,000","화이트_89,000","화이트_89,000"
60168752,3RSYS Socoool BYK 480 ARGB,"블랙_100,640","블랙_100,640","블랙_100,640"
15299693,3RSYS Socoool CSI-TUBE 330 ARGB,"58,980","58,980","58,980"
15435350,3RSYS Socoool HOLD CLIP,"블랙_4,500","블랙_4,500","블랙_4,500"
20478650,3RSYS Socoool L12N PWM,"화이트_3,840","화이트_3,840","화이트_3,840"
28533302,3RSYS Socoool RAVEN 120 PWM,"24,440","24,440","24,440"
11813689,3RSYS Socoool RC 1000,"79,000","79,000","79,000"
27808526,3RSYS Socoool RC 1100 PWM,"51,000","51,000","51,000"
29481635,3RSYS Socoool RC-1300 ARGB,"화이트_51,000","화이트_51,000","화이트_51,000"
28604933,3RSYS Socoool RC-1800 Quiet 솔더링,"화이트_65,590","화이트_65,590","화이트_65,590"
8180158,3RSYS Socoool RC100 RGB,"실버_18,010","실버_18,010","실버_18,010"
67512092,3RSYS Socoool RC1050 ARGB 램프리,"_블랙_31,790|_화이트_31,730","_블랙_31,790|_화이트_31,730",0
67512098,3RSYS Socoool RC1050 ARGB 램프리,0,0,"_블랙_31,790|_화이트_31,720"
67512053,3RSYS Socoool RC1050N PWM 램프리,"_블랙_29,750|_화이트_29,610","_블랙_29,750|_화이트_29,610","_블랙_29,740|_화이트_29,600"
