Id,Name,2026-08-01 20:08:41,2026-08-02 07:28:08,2026-08-02 20:08:27,2026-08-03 07:23:33,2026-08-03 21:50:50
92357306,1stPlayer NEO87 유무선 기계식,"_레트로_68,000|스텔라_99,000|_크림 버건디_75,000","_레트로_68,000|스텔라_99,000|_크림 버건디_75,000","_레트로_68,000|스텔라_99,000|_크림 버건디_75,000","_레트로_68,000|스텔라_99,000|_크림 버건디_75,000","_레트로_68,000|스텔라_99,000|_크림 버건디_75,000"
92187749,3M WR85B,0,0,"11,050","11,050","11,050"
69697262,8bitdo Retro 유무선 기계식 F에디션,"116,620","116,620","116,620","116,620","116,620"
97357574,8bitdo Retro 유무선 기계식 N 에디션,"129,000","129,000",0,0,0
64984271,8bitdo Retro18 유무선 기계식 C64 에디션 (해외구매),"32,500","32,500","32,500","32,500","45,570"
103751768,AJAZZ AJ-AK01,"59,000","59,000","59,000","59,000","59,000"
106692875,AKKO MONSGEEK FUN60 ULTRA 유무선,"174,740","174,740","174,740","174,740","174,740"
76462442,AKKO MONSGEEK FUN60 유무선,0,0,0,0,"해외구매_14,500"
10639323,ANYZEN MK200 유선 키보드 마우스 세트,"_블랙_10,170|민트_10,170|_핑크_10,170","_블랙_10,170|민트_10,170|_핑크_10,170","_블랙_10,170|민트_10,170|_핑크_10,170","_블랙_10,170|민트_10,170|_핑크_10,170","_블랙_10,170|민트_10,170|_핑크_10,170"
90437783,APPLE MXCJ3KH/A 유무선,"157,170","157,170","157,170","159,000","159,000"
74053472,APPLE MXK83KH/A 유무선,"249,000","249,000",0,0,0
60326543,ASUS ROG AZOTH EXTREME 유무선,"629,100","629,100","629,100","629,100","699,000"
92888570,ASUS ROG AZOTH X 유무선 기계식,"_SNOW축_299,000|_STORM축_299,000","_SNOW축_299,000|_STORM축_298,000","_SNOW축_299,000|_STORM축_298,000","_SNOW축_299,000|_STORM축_298,000","_SNOW축_299,000|_STORM축_298,000"
97836170,ASUS ROG FALCATA 유무선,"499,000","499,000","499,000","499,000","499,000"
12768116,ASUS ROG FALCHION 영문,0,0,0,0,"적축_181,090"
