Id,Name,2026-08-01 19:48:44,2026-08-02 07:07:32,2026-08-02 19:49:12,2026-08-03 07:04:15,2026-08-03 21:35:16,2026-08-04 07:16:42,2026-08-04 20:34:21,2026-08-05 07:22:23,2026-08-05 20:29:28,2026-08-06 07:20:30,2026-08-06 20:32:54,2026-08-07 10:06:13,2026-08-07 19:09:41,2026-08-08 06:49:35,2026-08-08 18:48:24,2026-08-09 06:40:28
10363848,ACPI DDR3-1600,"8GB_2,603원/1GB_20,820","8GB_2,598원/1GB_20,780","8GB_2,598원/1GB_20,780","8GB_2,598원/1GB_20,780","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_20,690","8GB_2,636원/1GB_21,090","8GB_2,636원/1GB_21,090","8GB_2,636원/1GB_21,090","8GB_2,624원/1GB_20,990","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,636원/1GB_21,090","8GB_2,636원/1GB_21,090","8GB_2,875원/1GB_23,000","8GB_2,636원/1GB_21,090"
17020214,ADATA DDR4-3200 CL22 중고,"16GB_8,688원/1GB_139,000","16GB_8,688원/1GB_139,000","16GB_8,688원/1GB_139,000","16GB_8,688원/1GB_139,000","16GB_8,063원/1GB_129,000","16GB_8,063원/1GB_129,000","16GB_8,063원/1GB_129,000","16GB_8,063원/1GB_129,000","16GB_8,063원/1GB_129,000","16GB_8,063원/1GB_129,000","16GB_9,938원/1GB_159,000","16GB_9,938원/1GB_159,000","16GB_9,938원/1GB_159,000","16GB_9,938원/1GB_159,000","16GB_9,938원/1GB_159,000","16GB_9,938원/1GB_159,000"
94450340,ADATA DDR4-3200 CL22 파인인포,"_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,546원/1GB_92,370","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,546원/1GB_92,370","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,544원/1GB_92,350","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,544원/1GB_92,350","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,536원/1GB_92,290","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,536원/1GB_92,290","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,524원/1GB_92,190","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,525원/1GB_92,200","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,524원/1GB_92,190","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,525원/1GB_92,200","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,524원/1GB_92,190","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,513원/1GB_92,100","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,513원/1GB_92,100","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,499원/1GB_91,990","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,474원/1GB_91,790","_32GB_12,968원/1GB_414,960|16GB_11,817원/1GB_189,070|_8GB_11,474원/1GB_91,790"
15598841,ADATA DDR5-5200 CL38 LANCER 블랙 패키지,"32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080"
104374652,ADATA DDR5-5600 CL46 ARMAX 서린,"16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_19,975원/1GB_319,600","16GB_19,975원/1GB_319,600","16GB_20,939원/1GB_335,030","16GB_20,939원/1GB_335,020","16GB_20,939원/1GB_335,020","16GB_20,939원/1GB_335,030","16GB_20,586원/1GB_329,380","16GB_20,663원/1GB_330,600","16GB_20,663원/1GB_330,600","16GB_20,663원/1GB_330,600"
103415363,ADATA DDR5-5600 CL46 ARMAX 파인인포,"16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250","16GB_20,703원/1GB_331,250"
76071389,ADATA DDR5-5600 CL46 ECC/REG,"32GB_67,173원/1GB_2,149,550","32GB_67,173원/1GB_2,149,540","32GB_67,171원/1GB_2,149,470","32GB_67,170원/1GB_2,149,450","32GB_67,173원/1GB_2,149,550","32GB_67,173원/1GB_2,149,550","32GB_67,173원/1GB_2,149,550","32GB_67,174원/1GB_2,149,560","32GB_67,173원/1GB_2,149,550","32GB_67,174원/1GB_2,149,560","32GB_67,173원/1GB_2,149,550","32GB_67,174원/1GB_2,149,560","32GB_67,173원/1GB_2,149,550","32GB_67,173원/1GB_2,149,550","32GB_67,173원/1GB_2,149,550","32GB_67,173원/1GB_2,149,550"
122616740,ADATA DDR5-5600 CL46 ECC/REG 서린,"64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,980","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,980","64GB_63,937원/1GB_4,091,980","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970","64GB_63,937원/1GB_4,091,970"
105818030,ADATA DDR5-5600 CL46 ECC/REG 파인인포,"16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260"
105818036,ADATA DDR5-5600 CL46 ECC/REG 파인인포,"16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260","16GB_62,999원/1GB_1,007,990|_32GB_66,525원/1GB_2,128,800|_64GB_63,176원/1GB_4,043,260"
